"第1周" "第2周" "第3周" "第4周" "第5周" "第6周" "第7周" "第8周" "第9周"
"P.5.1" 4 5 7 7 9 10 10 NA NA
"P.5.2" 4 6 8 9 9 12 13 NA NA
"P.5.3" 3 4 6 6 6 6 6 NA NA
"P.5.4" 3 4 6 7 8 9 9 NA NA
"P.5.5" 4 5 6 7 8 8 9 NA NA
"P.5.6" 2 3 6 6 7 7 8 NA NA
"P.5.7" 5 6 8 8 8 9 9 NA NA
"P.5.8" 3 4 6 6 6 6 6 NA NA
"P.5.9" 6 7 8 9 10 13 15 NA NA
"P.5.10" 3 5 6 7 8 10 10 NA NA
"P.6.1" 6 7 8 10 38 47 51 NA NA
"P.6.2" 4 7 10 10 30 71 80 NA NA
"P.6.3" 4 4 7 7 23 29 30 NA NA
"P.6.4" 4 6 8 10 33 63 70 NA NA
"P.6.5" 5 5 5 5 6 10 17 NA NA
"P.6.6" 5 6 7 7 8 15 61 NA NA
"P.6.7" 7 7 7 10 36 51 88 NA NA
"P.6.8" 5 6 7 9 24 44 74 NA NA
"P.6.9" 5 7 8 10 22 49 73 NA NA
"P.6.10" 5 6 7 7 13 44 47 NA NA
"P.7.1" 5 6 7 8 17 33 67 NA NA
"P.7.2" 4 5 5 5 8 13 31 NA NA
"P.7.3" 3 4 6 6 7 12 30 NA NA
"P.7.4" 3 4 5 6 11 17 41 NA NA
"P.7.5" 5 6 6 6 10 15 36 NA NA
"P.7.6" 6 7 8 13 20 40 71 NA NA
"P.7.7" 4 4 6 10 18 37 71 NA NA
"P.7.8" 6 6 8 10 21 30 67 NA NA
"P.7.9" 6 8 10 14 19 55 110 NA NA
"P.7.10" 4 6 6 8 10 12 35 NA NA
"P.8.1" 5 6 6 7 19 19 19 NA NA
"P.8.2" 4 7 7 14 55 65 65 NA NA
"P.8.3" 4 6 7 9 10 10 10 NA NA
"P.8.4" 6 6 8 17 50 55 55 NA NA
"P.8.5" 7 7 9 20 63 74 74 NA NA
"P.8.6" 7 8 9 24 51 55 55 NA NA
"P.8.7" 6 7 8 30 66 79 79 NA NA
"P.8.8" 5 7 8 14 45 49 49 NA NA
"P.8.9" 7 7 7 7 8 8 8 NA NA
"P.8.10" 7 8 9 33 59 70 70 NA NA
"P.9.1" 4 5 6 7 44 92 140 NA NA
"P.9.2" 4 5 7 8 49 94 128 NA NA
"P.9.3" 4 5 7 8 43 53 53 NA NA
"P.9.4" 3 4 7 9 58 103 102 NA NA
"P.9.5" 4 5 6 8 40 91 122 NA NA
"P.9.6" 5 6 6 7 50 99 118 NA NA
"P.9.7" 4 5 6 7 89 146 146 NA NA
"P.9.8" 4 6 8 9 97 145 151 NA NA
"P.9.9" 3 4 5 6 16 39 41 NA NA
"P.9.10" 6 7 7 8 34 96 137 NA NA
"P.10.1" 6 7 7 9 10 10 32 NA NA
"P.10.2" 4 4 5 6 7 14 31 NA NA
"P.10.3" 4 5 6 7 16 44 96 NA NA
"P.10.4" 3 5 5 5 6 8 10 NA NA
"P.10.5" 6 7 7 9 9 47 47 NA NA
"P.10.6" 3 4 6 8 13 45 97 NA NA
"P.10.7" 3 4 5 5 7 11 29 NA NA
"P.10.8" 3 4 5 5 7 8 26 NA NA
"P.10.9" 3 5 5 6 10 33 77 NA NA
"P.10.10" 5 6 7 8 8 9 16 NA NA
"P.11.1" 4 5 6 7 8 32 70 NA NA
"P.11.2" 7 8 9 10 47 106 119 NA NA
"P.11.3" 5 7 8 9 10 40 91 NA NA
"P.11.4" 5 6 8 12 56 113 169 NA NA
"P.11.5" 4 5 6 7 14 45 140 NA NA
"P.11.6" 6 7 7 7 18 37 113 NA NA
"P.11.7" 6 6 7 7 15 40 111 NA NA
"P.11.8" 6 7 8 9 28 36 126 NA NA
"P.11.9" 6 7 7 8 9 10 48 NA NA
"P.11.10" 5 6 7 8 9 21 72 NA NA
"P.12.1" 6 7 9 9 14 40 67 NA NA
"P.12.2" 6 6 7 7 15 49 106 NA NA
"P.12.3" 4 6 6 8 9 23 83 NA NA
"P.12.4" 5 6 7 8 39 61 152 NA NA
"P.12.5" 5 6 8 8 18 50 103 NA NA
"P.12.6" 6 7 7 8 24 52 75 NA NA
"P.12.7" 6 6 7 7 39 60 58 NA NA
"P.12.8" 5 6 6 7 27 64 90 NA NA
"P.12.9" 7 8 9 9 50 59 59 NA NA
"P.12.10" 6 6 7 9 104 128 138 NA NA
"P.13.1" 6 7 8 10 108 172 197 NA NA
"P.13.2" 7 8 9 10 112 127 127 NA NA
"P.13.3" 7 9 10 11 79 118 135 NA NA
"P.13.4" 6 8 8 10 78 120 123 NA NA
"P.13.5" 6 9 10 12 109 119 119 NA NA
"P.13.6" 6 7 7 9 12 14 42 NA NA
"P.13.7" 7 8 9 9 15 37 117 NA NA
"P.13.8" 8 9 10 10 76 148 206 NA NA
"P.13.9" 6 7 7 8 19 46 51 NA NA
"P.13.10" 6 7 7 8 10 30 113 NA NA
"P.14.1" 4 5 6 6 23 37 46 NA NA
"P.14.2" 4 5 5 5 26 32 36 NA NA
"P.14.3" 5 5 7 20 35 39 90 NA NA
"P.14.4" 4 5 5 6 8 10 30 NA NA
"P.14.5" 6 7 8 14 50 66 84 NA NA
"P.14.6" 4 6 6 12 15 31 47 NA NA
"P.14.7" 7 8 9 32 110 157 160 NA NA
"P.14.8" 6 8 10 50 81 90 96 NA NA
"P.14.9" 6 7 8 19 100 126 130 NA NA
"P.14.10" 5 6 6 6 12 23 23 NA NA
"P.15.1" 3 4 6 9 17 45 46 NA NA
"P.15.2" 4 5 7 10 22 83 83 NA NA
"P.15.3" 5 7 8 27 76 94 94 NA NA
"P.15.4" 4 4 6 12 39 43 47 NA NA
"P.15.5" 4 4 6 18 70 76 76 NA NA
"P.15.6" 4 5 7 12 27 30 30 NA NA
"P.15.7" 5 5 7 9 25 79 79 NA NA
"P.15.8" 4 5 7 14 60 64 64 NA NA
"P.15.9" 7 7 12 57 105 111 113 NA NA
"P.15.10" 8 8 11 13 36 40 40 NA NA
"P.16.1" 2 3 5 6 7 7 7 NA NA
"P.16.2" 4 5 6 7 8 19 72 NA NA
"P.16.3" 4 5 6 6 11 48 140 NA NA
"P.16.4" 3 4 6 7 7 7 7 NA NA
"P.16.5" 6 7 9 11 15 53 169 NA NA
"P.16.6" 2 6 8 8 32 65 89 NA NA
"P.16.7" 4 5 7 8 11 26 97 NA NA
"P.16.8" 5 6 7 11 15 55 152 NA NA
"P.16.9" 4 5 6 7 11 11 16 NA NA
"P.16.10" 5 6 7 8 23 79 103 NA NA
"P.17.1" 5 6 7 8 9 9 9 NA NA
"P.17.2" 4 5 6 7 8 8 34 NA NA
"P.17.3" 6 6 6 9 9 9 9 NA NA
"P.17.4" 6 7 7 8 8 8 8 NA NA
"P.17.5" 6 7 7 7 7 7 8 NA NA
"P.17.6" 5 7 8 8 9 9 9 NA NA
"P.17.7" 5 6 6 7 7 7 7 NA NA
"P.17.8" 5 6 6 7 7 7 7 NA NA
"P.17.9" 4 7 8 9 9 10 10 NA NA
"P.17.10" 6 7 8 9 9 9 9 NA NA
"P.18.1" 5 7 8 9 9 9 9 NA NA
"P.18.2" 4 5 6 7 8 8 34 NA NA
"P.18.3" 6 6 6 9 9 9 9 NA NA
"P.18.4" 6 7 7 8 8 8 8 NA NA
"P.18.5" 6 7 7 7 7 8 8 NA NA
"P.18.6" 5 7 8 8 9 9 9 NA NA
"P.18.7" 5 6 6 7 7 7 7 NA NA
"P.18.8" 4 6 6 7 7 7 7 NA NA
"P.18.9" 4 7 8 9 9 10 10 NA NA
"P.18.10" 6 7 8 9 9 9 9 NA NA
