"V1" "V2"
"1" 5 6
"2" 5 6
"3" 5 6
"4" 5 6
"5" 5 6
"6" 5 6
"7" 5 6
"8" 5 6
"9" 5 6
"10" 5 6
"11" 7 8
"12" 7 8
"13" 7 8
"14" 7 8
"15" 7 8
"16" 7 8
"17" 7 8
"18" 7 8
"19" 7 8
"20" 7 8
"21" 9 10
"22" 9 10
"23" 9 10
"24" 9 10
"25" 9 10
"26" 9 10
"27" 9 10
"28" 9 10
"29" 9 10
"30" 9 10
"31" 11 12
"32" 11 12
"33" 11 12
"34" 11 12
"35" 11 12
"36" 11 12
"37" 11 12
"38" 11 12
"39" 11 12
"40" 11 12
"41" 13 14
"42" 13 14
"43" 13 14
"44" 13 14
"45" 13 14
"46" 13 14
"47" 13 14
"48" 13 14
"49" 13 14
"50" 13 14
"51" 15 16
"52" 15 16
"53" 15 16
"54" 15 16
"55" 15 16
"56" 15 16
"57" 15 16
"58" 15 16
"59" 15 16
"60" 15 16
"61" 17 18
"62" 17 18
"63" 17 18
"64" 17 18
"65" 17 18
"66" 17 18
"67" 17 18
"68" 17 18
"69" 17 18
"70" 17 18
"71" 19 20
"72" 19 20
"73" 19 20
"74" 19 20
"75" 19 20
"76" 19 20
"77" 19 20
"78" 19 20
"79" 19 20
"80" 19 20
"81" 23 24
"82" 23 24
"83" 23 24
"84" 23 24
"85" 23 24
"86" 23 24
"87" 23 24
"88" 23 24
"89" 23 24
"90" 23 24
"91" 31 32
"92" 31 32
"93" 31 32
"94" 31 32
"95" 31 32
"96" 31 32
"97" 31 32
"98" 31 32
"99" 31 32
"100" 31 32
"101" 33 34
"102" 33 34
"103" 33 34
"104" 33 34
"105" 33 34
"106" 33 34
"107" 33 34
"108" 33 34
"109" 33 34
"110" 33 34
"111" 35 36
"112" 35 36
"113" 35 36
"114" 35 36
"115" 35 36
"116" 35 36
"117" 35 36
"118" 35 36
"119" 35 36
"120" 35 36
"121" 37 38
"122" 37 38
"123" 37 38
"124" 37 38
"125" 37 38
"126" 37 38
"127" 37 38
"128" 37 38
"129" 37 38
"130" 37 38
"131" 41 42
"132" 41 42
"133" 41 42
"134" 41 42
"135" 41 42
"136" 41 42
"137" 41 42
"138" 41 42
"139" 41 42
"140" 41 42
"141" 43 44
"142" 43 44
"143" 43 44
"144" 43 44
"145" 43 44
"146" 43 44
"147" 43 44
"148" 43 44
"149" 43 44
"150" 43 44
"151" 45 46
"152" 45 46
"153" 45 46
"154" 45 46
"155" 45 46
"156" 45 46
"157" 45 46
"158" 45 46
"159" 45 46
"160" 45 46
"161" 47 48
"162" 47 48
"163" 47 48
"164" 47 48
"165" 47 48
"166" 47 48
"167" 47 48
"168" 47 48
"169" 47 48
"170" 47 48
"171" 49 50
"172" 49 50
"173" 49 50
"174" 49 50
"175" 49 50
"176" 49 50
"177" 49 50
"178" 49 50
"179" 49 50
"180" 49 50
